 
0,0,1365,0,261,790#
0,0,261,790,0,2048#
0,2048,261,790,1365,2048#
1365,2048,261,790,1365,0#
0,0,1365,0,1179,997#
0,0,1179,997,0,2048#
0,2048,1179,997,1365,2048#
1365,2048,1179,997,1365,0#
0,0,1365,0,1024,1803#
0,0,1024,1803,0,2048#
0,2048,1024,1803,1365,2048#
1365,2048,1024,1803,1365,0#
0,0,1365,0,403,226#
0,0,403,226,0,2048#
0,2048,403,226,1365,2048#
1365,2048,403,226,1365,0#
0,0,1365,0,994,739#
0,0,994,739,0,2048#
0,2048,994,739,1365,2048#
1365,2048,994,739,1365,0#
0,0,1365,0,799,1875#
0,0,799,1875,0,2048#
0,2048,799,1875,1365,2048#
1365,2048,799,1875,1365,0#
0,0,1365,0,549,289#
0,0,549,289,0,2048#
0,2048,549,289,1365,2048#
1365,2048,549,289,1365,0#
0,0,1365,0,1138,862#
0,0,1138,862,0,2048#
0,2048,1138,862,1365,2048#
1365,2048,1138,862,1365,0#
